,quotes,length
3,Logic did not fare quite so badly as metaphysics,48.0
4,Even the proofs of the existence of god are cited only for historical interest or for purposes of edification and uplifting the emotions,136.0
5,The fact is that there no longer exists any interest either in the form or the content of metaphysics or in both together,121.0
6,[kantian philosophy] was a justification from a philosophical quarter for the renunciation of speculative thought,113.0
7,There was seen the strange spectacle of a cultured nation without metaphysics−like a temple richly ornamented but without a holy of holies.,139.0
8,"Outer existence seemed to be transformed into the bright world of flowers−and there are no black flowers, as we know",116.0
9,The spirit of practicality certainly did not intend for logic a better fate than was suffered by the sister science,115.0
10,That one learns from logic how to think − just as if one could only learn how to digest and move about by studying anatomy and physiology,137.0
11,Logic shows no traces so far of the new spirit,46.0
12,"Once the form of the spirit has inwardly reconstituted itself, all attempts to preserve the forms of an earlier culture are utterly in vain",139.0
13,Like withered leaves they are pushed off by the new buds already growing at their roots,87.0
14,The only way they can give a positive significance and a content to their negative attitude is to fall in with the new ways of thinking,135.0
15,The period of fermentation with which a new creative idea begins is past,72.0
16,It is fearful of losing itself in the ramifications of the particular,69.0
17,"It shuns the labour required for a scientific elaboration of the new principle and in its need for such, it grasps at an empty formalism",136.0
18,The challenge to elaborate and systematise the material now becomes all the more pressing,89.0
19,The higher demand is that it should become systematised knowledge,65.0
20,"The science of logic which constitutes metaphysics proper or purely speculative philosophy, has hitherto still been much neglected",130.0
21,What is involved is an altogether new concept of scientific procedure,69.0
22,"Philosophy, if it would be a science, cannot, as i have remarked elsewhere, borrow its method from subordinate sciences like mathematics",136.0
23,"[philosophy cannot] remain satisfied with categorical assurances of inner intuition, or employ arguments based on external reflection",133.0
24,It can be only the nature of the content itself which spontaneously develops itself in a scientific method of knowing,117.0
25,Since it is at the same time the reflection of the content itself which first posits and generates its determinate character,124.0
26,"The understanding determines, and holds the determinations fixed",64.0
27,"Reason is negative and dialectical, because it resolves the determinations of the understanding into nothing",108.0
28,[reason] is positive because it generates the universal and comprehends the particular therein,94.0
29,Just as the understanding is usually taken to be something separate from reason as such,87.0
30,So too dialectical reason is usually taken to be something distinct from positive reason,88.0
31,"But reason in its truth is spirit which is higher than either merely positive reason, or merely intuitive understanding",119.0
32,"It is the negative, that which constitutes the quality alike of dialectical reason and of understanding",103.0
33,"It negates what is simple, thus positing the specific difference of the understanding; it equally resolves it and is thus dialectical",133.0
34,But it does not stay in the nothing of this result but in the result is no less positive - in this way it has restored what was simple,134.0
35,But as a universal which is within itself concrete,50.0
36,A given particular is not subsumed under this universal ,56.0
37,"But in this determining, this positing of a difference, and the resolving of it, the particular has already determined itself",125.0
38,This movement is the absolute method of knowing and at the same time is the immanent soul of the content itself,111.0
39,"I maintain that it is this self−construing method alone which enables philosophy to be an objective, demonstrated science",121.0
40,Consciousness is spirit as a concrete knowing,45.0
41,But the development of this object rests solely on the nature of the pure essentialities which constitute the content of logic,126.0
42,"But the development of this object, like the development of all natural and spiritual life,",91.0
43,"Consciousness, as spirit in its manifestation which in its progress frees itself from its immediacy and external concretion",123.0
44,"They are pure thoughts, spirit thinking its own essential nature",64.0
45,Their self−movement is their spiritual life and is that through which philosophy constitutes itself and of which it is the exposition,133.0
46,"To exhibit the realm of thought philosophically, that is, in its own immanent activity or what is the same, in its necessary development",136.0
47,"The forms of thought are, in the first instance, displayed and stored as human language",87.0
48,Nowadays we cannot be too often reminded that it is thinking which distinguishes man from the beasts,100.0
49,"Everything that he expresses in language contains a category−concealed, mixed with other forms or clearly determined as such, ",126.0
50,"So much is logic his natural element, indeed his own peculiar nature",68.0
51, logic must certainly be said to be the supernatural element which permeates every relationship of man to nature,112.0
52,"If nature as such, as the physical, is contrasted with the spiritual sphere, then logic must certainly be said to be th supernatural element",140.0
53,It is an advantage when a language possesses an abundance of logical expressions,80.0
54,Many prepositions and articles denote relationships based on thought,68.0
55,It is important that in language the categories should appear in the form of substantives and verbs and thus take on the form of objectivity,140.0
56,To find the union of opposites naively shown in the dictionary as one word with opposite meanings,97.0
57,This result of speculative thinking is nonsensical to the understanding,71.0
58,Philosophy therefore stands in no need of a special terminology,63.0
59,"The advance of culture generally, and of the sciences in particular, gradually brings into use higher relationships of thought",126.0
60,"The empirical and natural sciences, which in general employ the commonest categories: whole and parts, a thing and its properties, and such",139.0
61,"In physics, for example, the category of force has become predominant",69.0
62," the form of abstraction, of identity, by which a specific concept, as, for example, force, acquires an independent self−subsistence",132.0
63,The category of polarity which is the determination of a difference in which the different terms are inseparably conjoined,122.0
64,"Prominence has been given to the determinate form, the difference, which is at the same time an inseparable element in the identity",131.0
65,Because of the fixed reality of natural objects the study of nature compels us to fix the categories  which can no longer be ignored in her,139.0
66,Indulging in generalities as so easily happens in the intellectual sphere.,74.0
67,"[logic] may be thoroughly familiar to educated people it does not follow, as i have said, that they are intelligently apprehended",129.0
68,"Just those determinations of thought which we employ on every occasion, which pass our lips in every sentence we speak",118.0
69,To have to occupy oneself with what is familiar can even arouse impatience,74.0
70,The kind of preliminary general idea which is demanded in the case of any science prior to its exposition,105.0
71,There is no human desiring or willing without ideation,54.0
72,The forms of thought have been freed from the material in which they are submerged,82.0
73,These universalities have been brought into prominence for their own sake and made objects of contemplation,107.0
74,"As a matter of fact, the need to occupy oneself with pure thought presupposes that the human spirit must already have travelled a long road",139.0
75,"In the silent regions of thought which has come to itself and communes only with itself,",88.0
76,The interests which move the lives of races and individuals are hushed,70.0
77,"In the silent regions of thought which has come to itself, ... the interests which move the lives of races and individuals are hushed",133.0
78,"This science, which is not studied for its utility, is the only absolutely free science and so seems to be a more than human possession",135.0
79,Logic is concerned only and solely with these thoughts as thoughts,66.0
80,"For this reason it is customary, to include logic in the curriculum of youth",76.0
81, the study of logic is a preliminary labour to be carried out in school and it is not until later that the serious business of life begins ,139.0
82,"In life, the categories are used;",33.0
83,"In the conception of god or of love there is epitomised in the simplicity of such ideating an infinite host of ideas actions states, etc!",137.0
84,"Secondly, the categories serve for the more exact determination and discovery of objective relations",100.0
85,"When in philo. reflection the categories are made to serve as means, then thinking is treated as subordinate to the other activities of mind",140.0
86,"We do not indeed say of our feelings, impulses or interests that they serve us",78.0
87,"Rather do they count as independent forces and powers, so that to have this particular feeling, to desire this, is what we are",126.0
88,"But probably we are more conscious of obeying our feelings passions, interests, not to mention habits, than of having them in our possession",140.0
89,"Still less, in view of our intimate union with them, of their being at our disposal",83.0
90,Universality which we are conscious ourselves of being,54.0
91,We are disposed to regard ourselves as caught up in these particular states and dominated by them,97.0
92,It is much more difficult to believe that the forms of thought which permeate all our ideas are tools for us rather than that we serve them,139.0
93,"When we give ourselves up to a sensation, a purpose, an interest, and in it feel ourselves confined and unfree,",111.0
94,"The place into which we can withdraw ourselves back into freedom is this region of self−certainty, of pure abstraction, of thought",130.0
95,"We call the nature or the essence of things their notion, and this is only for thought;",87.0
96,Still less shall we say of the notions of things that we dominate them,70.0
97," on the contrary, it is our thinking that must accommodate itself to them and our freedom ought not to want to mold them to suit itself",135.0
98,"Subjective thought is our very own, innermost, act",50.0
99,The objective notion of things constitutes their essential import,65.0
100,"We cannot go outside this our act, we cannot stand above it, and just as little can we go beyond the nature of things",117.0
101,For us the object can be nothing else but our notions of it,59.0
102,It is absurd to say that the object would be set up as criterion for our notion while for us the object can be nothing but our notion of it,139.0
103," these very things which are supposed to stand beyond us, and  beyond the thoughts referring to them, are  figments of subjective thought",137.0
104,The so−called thing−in−itself of empty abstraction.,51.0
105,"What we consciously attend to is the contents, the objects of our ideas, that in which we are interested",104.0
106,"What is genuinely permanent & substantial in the complexity & contingency of appearance & fleeting manifestation, is the notion of the thing",140.0
107,Each individual animal is such individual primarily because it is an animal:,76.0
108,"If this is true, then it would be impossible to say what such an individual could still be if this foundation were removed",122.0
109,"The profounder basis is the soul itself, the pure notion which is the very heart of things, the simple life−pulse, even of thinking of them",139.0
110,"To focus attention on this logical nature which animates mind, moves and works in it, this is the task",102.0
111,The content of the interest in which one is absorbed is drawn out of immediate unity with oneself & becomes an independent object of thought,140.0
112,"Whereas when thinking is an instinctive activity, spirit is encaged in its categories and is broken up into an infinitely varied material",137.0
113,The most important point for the nature of spirit is ... the relation of what it knows itself to be to what it actually is,122.0
114,"Because spirit is essentially consciousness, this self−knowing is a fundamental determination of its actuality",110.0
115,As impulses the categories are only instinctively active.,57.0
116,At first they enter consciousness separately and so are variable and mutually confusing;,88.0
117,"The determinations of thought, primarily as forms which are distinct from the matter of thought and only attached to it",119.0
118,The loftier business of logic therefore is to clarify these categories and in them to raise mind to freedom and truth,117.0
119,"In whatever respect the true may be associated with limitation and finitude this is the aspect of its negation, of its untruth and unreality",140.0
120,It is in bondage to unclarified and therefore unfree thinking,61.0
121,"Generally speaking they concern only the correctness of the knowledge of facts, not truth itself.",97.0
122,Including in our conception of thought not only that which is usually reckoned as belonging to the external form but the content as well. ,138.0
123,"What at first to ordinary reflection is, as content, divorced from form, cannot in fact be formless, cannot be devoid of inner determination",140.0
124,The content in its own self possesses form,42.0
125,It is form itself which is transformed only into the semblance of a content,75.0
126,"It is form itself which is transformed into only the semblance of a content, hence into a semblance of something external to this semblance",139.0
127,"The subject matter is not things but their import, the notion of them",69.0
128,"Secondly, a notion is determinate and it is this determinateness in it which appears as content",95.0
129,"In any case, any demand for a systematic disposal of such random reflections could only be partially satisfied",110.0
130,"A plastic discourse demands, too, a plastic receptivity and understanding on the part of the listener;",102.0
131,The uncouth and uneducated behaviour of taking a category which is under consideration for something other than the category itself,131.0
132,"Thoroughness seems to require that the beginning, as the foundation on which everything is built, should be examined before anything else,",138.0
133,"It has before it, enclosed in this germ, the entire development",63.0
134,This education and discipline of thinking by which it acquires plasticity and by which the impatience of casual reflection is overcome,134.0
135,"In no science is the need to begin with the subject itself, without preliminary reflections, felt more strongly than in the science of logic",140.0
136,These abstract matters have ceased to be flesh - hegel,54.0
137,If we go on to cast a look at the fate of world historical personalities… we shall find it to have been no happy one,116.0
138,When their object is attained they fall off like empty hulls from the kernel,76.0
139,"The state of one’s mind ie the phase of mind which one so far possesses, conforms precisely to the state of the world as one so far views it",140.0
140,History is not the soil of happiness. the periods of happiness are blank pages in it.,85.0
141,In this educational progress we can see the history of the world’s culture delineated in faint outline,102.0
142,To make abstractions hold in reality is to destroy reality - hegel,66.0
143,Life is essentially the concept which realizes itself only through self-division and reunification,98.0
144,A building is not finished when its foundation is laid - hegel,62.0
145,The plant brings forth its light as its own self in the blossom. - hegel,72.0
146, free speech is assured by the innocuous character which it acquires as a result of the stability of government - hegel,119.0
147,To be independent of public opinion is the first formal condition of achieving anything great or rational - hegel,113.0
148,"Public opinion has common sense, but is infected by accidents of opinion, ignorance and perversity - hegel",106.0
149,Necessity appears to itself in the shape of freedom - hegel,59.0
150,It is the art of music which conducts us to the final summit of that ascent to freedom - hegel,94.0
151,"The tool lasts, while the immediate enjoyments pass away and are forgotten.",75.0
152,No act of revenge is justified. - hegel,39.0
153,"By the act of reflection something is altered in the way in which the fact was originally presented in sensation, perception, or conception",139.0
154,The man who wonders at nothing lives in a state of imbecility and stupidity.,76.0
155,"The fact is, no man can think for another, any more than he can eat or drink for him",84.0
156,Existence as determinate being is in essence being for another.,63.0
157,"Amid the pressure of great events, a general principle gives no help. - hegel",77.0
158,"To him who looks upon the world rationally, the world in its turn presents a rational aspect. the relation is mutual. - hegel",125.0
159,"You cannot save people, only love them - anaïs nin",50.0
160,World history is a court of judgment - hegel,44.0
161,Hell is truth seen too late - hobbes,36.0
162,"A hand e.g. when hewn off from the body is, as aristotle has observed, a hand in name only, not in fact - hegel",111.0
163,Reason is as cunning as it is powerful,38.0
164,"Logic on the contrary, cannot presuppose any of these forms of reflection and laws of thinking, for these constitute part of its own content",140.0
165,"What logic is cannot be stated beforehand, rather this knowledge of what it is first emergea as the final outcome of the whole exposition",137.0
166,The notion of logic has its genesis in the course of exposition and cannot therefore be premised,96.0
167,"But in the first place, it is quite inept to say that logic abstracts from all content",86.0
168,"As thinking and the rules of thinking are supposed to be the subject matter of logic, these directly constitute its peculiar content;",133.0
169,"Hitherto, the notion of logic has rested on the separation, ... of the content of cognition and its form, or of truth and certainty",131.0
170,"The object is regarded as something complete on its own account, something which can wholly dispense with thought for its actuality",131.0
171,It based itself on the fact that the knowledge of things obtained through thinking is alone what is really true in them,119.0
172,"Thus this metaphysic believed that thinking (and its determinations) is not anything alien to the object, but rather is its essential nature",140.0
173,"In this self−renunciation on the part of reason, the notion of truth is lost;",77.0
174,The insight into the necessary conflict of the determinations of the understanding with themselves.,99.0
175,But equally it must transcend these its separating determinations and straightway connect them,94.0
176,It is at the stage of this connecting of the determinations that their conflict emerges.,88.0
177,This connecting activity of reflection belongs in itself to reason,66.0
178,"The rising above determinations, which attains an insight into their conflict, is the great negativestep towards the true notion of reason",138.0
179,"The insight, when not thorough−going, commits the mistake of thinking that it is reason which is in contradiction with itself;",126.0
180,It does not recognise that the contradiction is precisely the rising of reason above the limits of the understanding & the resolving of them,140.0
181,"[kant] attributes to us a correct perception, with the rider that nevertheless we cannot percieve what is true but only what is false",133.0
182,Determinations of finite & infinite conflict in the same way whether they are applied to to the world or are determinations within the mind,139.0
183,"Absurd as this would be, it would not be more so than a true knowledge which did not know the object as it is in itself.",120.0
184,The forms of objective thinking are removed by this critique only from the thing; they are left in the subject just as they were originally,139.0
185,This abstract shadow divorced from all content - hegel,54.0
186,"But this attempt, because it proceeded from a subjective standpoint, could not be brought to a successful conclusion",116.0
187,The insubstantial nature of logical forms originates solely in the way in which they are considered and dealt with,114.0
188,The content which is missing in the logical forms is nothing else than a solid foundation and a concretion of these abstract determinations;,140.0
